Job Role,Skills,Experience/Eligibility,Target_Students,Domain
Robotics Research Intern,"Arduino, Sensors, Python/C++, Data Logging, Problem Solving",0–2 yrs,College,Technical
AI Research Intern,"Python, TensorFlow, Scikit-learn, Data Analysis, Research",0–2 yrs,College,Technical/Research
Machine Learning Intern,"Python, Data Analysis, Regression, Classification, Algorithms",0–2 yrs,College,Technical
Data Science Intern,"Python, R, SQL, Tableau, Data Cleaning, Analysis",0–2 yrs,College,Technical/Finance
Software QA Intern,"Manual Testing, Test Cases, Bug Tracking, Reporting",0–2 yrs,College,Technical
Cloud Computing Intern,"AWS Basics, Python, Networking, Virtual Machines, Problem Solving",0–2 yrs,College,Technical
Cybersecurity Intern,"Networking, Python, Security Basics, Vulnerability Analysis",0–2 yrs,College,Technical
Ethical Hacking Intern,"Kali Linux, Networking, Pen Testing, Scripting Basics",0–2 yrs,College,Technical
IoT Research Intern,"Raspberry Pi, Arduino, Sensors, Python, Data Logging",0–2 yrs,College,Technical
VR/AR Intern,"Unity, 3D Modeling, C#, Problem Solving, Creativity",0–2 yrs,College,Technical/Creative
Game Design Intern,"Unity, C#, Storyboarding, Logic, Creativity",0–2 yrs,College,Technical/Creative
School Robotics Intern,"LEGO, Sensors, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School Astronomy Club,"Observation, Telescope Basics, Data Recording, Reporting",0–2 yrs,School,Research
School Science Project,"Experimentation, Observation, Data Recording, Reporting",0–2 yrs,School,Research
School Physics Intern,"Simple Experiments, Measurement, Data Analysis, Observation",0–2 yrs,School,Research
School Chemistry Intern,"Lab Safety, Simple Experiments, Observation, Reporting",0–2 yrs,School,Research
School Biology Intern,"Plant/Animal Study, Observation, Data Collection",0–2 yrs,School,Research
School Math & Coding,"Scratch, Python Basics, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School Art & Creativity,"Drawing, Painting, Craft, Creativity, Attention to Detail",0–2 yrs,School,Non-Technical
School Writing Club,"Storytelling, Grammar, Creativity, Communication",0–2 yrs,School,Non-Technical
School Environmental Intern,"Awareness Programs, Data Collection, Reporting, Teamwork",0–2 yrs,School,Non-Technical
School Robotics & Coding,"Arduino Basics, Logic, Problem Solving, Creativity",0–2 yrs,School,Technical
School AI/ML Intro,"Python Basics, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School Astronomy Intern,"Observation, Telescopes, Recording, Reporting",0–2 yrs,School,Research
School Engineering Club,"Building Models, Simple Mechanics, Creativity, Problem Solving",0–2 yrs,School,Technical
School Math & Logic,"Puzzles, Problem Solving, Analytical Thinking",0–2 yrs,School,Non-Technical
School Science Fair Intern,"Experiments, Observation, Reporting, Presentation",0–2 yrs,School,Research
Agriculture Research Intern,"Crop Study, Soil Analysis, Reporting, Data Collection",0–2 yrs,College,Agriculture
Farm Management Intern,"Irrigation Basics, Crop Management, Data Recording",0–2 yrs,College,Agriculture
Agricultural Tech Intern,"Sensors, IoT Basics, Data Collection, Reporting",0–2 yrs,College,Agriculture/Technical
Agri-Business Intern,"Excel, Reporting, Market Analysis, Data Collection",0–2 yrs,College,Agriculture/Finance
Finance Intern,"Excel, Accounting Basics, Data Analysis, Financial Modelling",0–2 yrs,College,Finance
Accounting Assistant,"Bookkeeping, Excel, Accounting Principles, Data Entry",0–2 yrs,College,Finance
Banking Intern,"Customer Service, Finance Basics, Data Handling",0–2 yrs,College,Finance
Investment Research Intern,"Excel, Python, Financial Analysis, Reporting",0–2 yrs,College,Finance
Risk Management Intern,"Data Analysis, Excel, Reporting, Problem Solving",0–2 yrs,College,Finance
Insurance Intern,"Customer Handling, Excel, Reporting, Data Analysis",0–2 yrs,College,Finance
Financial Modelling Intern,"Excel, Python, Analytics, Forecasting, Reporting",0–2 yrs,College,Finance
Stock Market Research Intern,"Excel, Data Analysis, Market Research, Reporting",0–2 yrs,College,Finance
Economics Research Intern,"Data Collection, Analysis, Excel, Reporting",0–2 yrs,College,Finance/Research
Marketing Intern,"Market Research, MS Office, Communication, Creativity",0–2 yrs,College,Non-Technical
Digital Marketing Intern,"Social Media, SEO, Content Writing, Analytics",0–2 yrs,College,Non-Technical/Technical
Content Writer,"Writing Skills, Creativity, Grammar, Research",0–2 yrs,College,Non-Technical
Graphic Design Intern,"Photoshop, Illustrator, Creativity, Layout Design",0–2 yrs,College,Non-Technical/Creative
UI/UX Intern,"Figma, Adobe XD, Design Thinking, Wireframing",0–2 yrs,College,Technical/Creative
Video Editing Intern,"Premiere Pro, Creativity, Storytelling, Editing Skills",0–2 yrs,College,Non-Technical/Creative
HR Intern,"Communication, Coordination, Excel, Data Entry",0–2 yrs,College,Non-Technical
Admin Intern,"Excel, Communication, Scheduling, Coordination",0–2 yrs,College,Non-Technical
School Finance Club Intern,"Excel Basics, Data Recording, Analytical Thinking",0–2 yrs,School,Finance
School STEM Club Intern,"Basic Coding, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School AI/ML Intro,"Scratch, Python Basics, Logical Thinking",0–2 yrs,School,Technical
School Coding Club Intern,"Scratch, Python Basics, Problem Solving",0–2 yrs,School,Technical
School Robotics Club,"Arduino Basics, Sensors, Creativity, Problem Solving",0–2 yrs,School,Technical
School Math & Logic,"Puzzles, Problem Solving, Analytical Thinking",0–2 yrs,School,Non-Technical
School Science Fair Intern,"Experimentation, Observation, Reporting, Presentation",0–2 yrs,School,Research
School Environmental Intern,"Data Collection, Awareness Programs, Teamwork",0–2 yrs,School,Non-Technical
School Astronomy Club,"Observation, Telescope Basics, Data Recording",0–2 yrs,School,Research
School Chemistry Club,"Lab Safety, Simple Experiments, Data Collection",0–2 yrs,School,Research
School Biology Club,"Plant/Animal Study, Observation, Data Collection",0–2 yrs,School,Research
School Physics Club,"Simple Experiments, Measurement, Observation",0–2 yrs,School,Research
Agriculture Research Intern,"Crop Study, Soil Analysis, Data Collection, Reporting",0–2 yrs,College,Agriculture
Farm Management Intern,"Irrigation Basics, Crop Management, Data Logging",0–2 yrs,College,Agriculture
Agricultural Tech Intern,"IoT Basics, Sensors, Data Analysis, Reporting",0–2 yrs,College,Agriculture/Technical
Agri-Business Intern,"Excel, Market Analysis, Reporting, Data Collection",0–2 yrs,College,Agriculture/Finance
Medical Lab Intern,"Lab Testing, Sample Collection, Reporting, Data Entry",0–2 yrs,College,Medical
Biomedical Intern,"Lab Techniques, Data Analysis, Reporting, Documentation",0–2 yrs,College,Medical
Clinical Research Intern,"Research Methods, Data Analysis, Lab Skills, Documentation",0–2 yrs,College,Medical/Research
Hospital Admin Intern,"Scheduling, Communication, Record Keeping, Coordination",0–2 yrs,College,Non-Technical/Medical
Nursing Intern,"Patient Care, Monitoring, Communication, Documentation",0–2 yrs,College,Medical
Pharmacy Intern,"Drug Knowledge, Lab Techniques, Reporting, Documentation",0–2 yrs,College,Medical
Dietician Intern,"Nutrition Knowledge, Data Analysis, Reporting, Communication",0–2 yrs,College,Medical
School Medical Club Intern,"First Aid, Basic Health Knowledge, Awareness, Reporting",0–2 yrs,School,Medical
School STEM Research,"Coding Basics, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School Mechanical Club,"Model Making, CAD Basics, Creativity, Problem Solving",0–2 yrs,School,Mechanical
School Electrical Club,"Circuit Basics, Arduino, Logical Thinking, Problem Solving",0–2 yrs,School,Electrical
School Aerospace Club,"Rocket Basics, Simple Aerodynamics, Observation",0–2 yrs,School,Aerospace
School Aeronautical Club,"Flight Basics, Model Planes, Creativity, Observation",0–2 yrs,School,Aeronautical
School Robotics & Coding,"Arduino Basics, Sensors, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
School AI/ML Club,"Python Basics, Logical Thinking, Problem Solving",0–2 yrs,School,Technical
Renewable Energy Intern,"Solar, Wind, MATLAB, Data Analysis, Reporting",0–2 yrs,College,Electrical/Renewable
Renewable Energy Research,"Solar, Wind, Energy Modelling, MATLAB, Reporting",0–2 yrs,College,Electrical/Renewable
Robotics Research Intern,"Arduino, Sensors, Python/C++, Data Logging, Problem Solving",0–2 yrs,College,Technical
AI Research Intern,"Python, TensorFlow, Scikit-learn, Data Analysis, Research",0–2 yrs,College,Technical/Research
Machine Learning Intern,"Python, Data Analysis, Regression, Classification, Algorithms",0–2 yrs,College,Technical
Environmental Data Analyst Intern,"Data Analysis, GIS Basics, Excel, Reporting, Research",College,Research/Environment,
School Creative Arts Intern,"Drawing, Creativity, Storytelling, Presentation, Teamwork",School,Creative/Non-Technical,
